iter	Logloss
0	0.6857339938
1	0.681081907
2	0.6765831669
3	0.6717980213
4	0.6671108829
5	0.6627593054
6	0.6582619084
7	0.6542835063
8	0.6498682843
9	0.6445617729
10	0.6405774143
11	0.6373150998
12	0.6354257729
13	0.6327149285
14	0.6287068473
15	0.6249413808
16	0.6217469944
17	0.6179099507
18	0.6145462765
19	0.6105311751
20	0.6066648669
21	0.6037353449
22	0.5997659008
23	0.5958972904
24	0.5922925035
25	0.5897485018
26	0.5855190052
27	0.5826621029
28	0.5784719984
29	0.5765978641
30	0.573698563
31	0.5694667829
32	0.565233665
33	0.5620254053
34	0.5576268898
35	0.5543276111
36	0.5518502898
37	0.5487053818
38	0.5467592292
39	0.5444747541
40	0.5409503222
41	0.5386085192
42	0.5360346039
43	0.533852915
44	0.5311650793
45	0.5265497062
46	0.5240964598
47	0.5209704287
48	0.5186631395
49	0.5156371845
50	0.5116969559
51	0.5086765753
52	0.5060576141
53	0.5031845821
54	0.500587666
55	0.4978878352
56	0.4957579056
57	0.4933399452
58	0.4911996139
59	0.4881136503
60	0.4863114397
61	0.484452139
62	0.4821093486
63	0.4803366178
64	0.477824333
65	0.4752991623
66	0.4734294011
67	0.4709630489
68	0.4687171784
69	0.4657989038
70	0.4623826305
71	0.4607576887
72	0.4586683101
73	0.456827016
74	0.454970779
75	0.4531669882
76	0.4506645097
77	0.448784803
78	0.4470735477
79	0.4449956371
80	0.4428409384
81	0.439811482
82	0.4380778167
83	0.435176605
84	0.431899284
85	0.4277105934
86	0.4265369111
87	0.4243217415
88	0.422389651
89	0.420832989
90	0.4198109799
91	0.4173206164
92	0.4154911889
93	0.4137190408
94	0.4111951338
95	0.4093301243
96	0.4080824441
97	0.4068614807
98	0.4051267909
99	0.4032936891
