iter	Passed	Remaining
0	0	95
1	1	84
2	2	74
3	2	68
4	4	84
5	4	76
6	5	71
7	5	68
8	6	65
9	7	64
10	7	63
11	8	62
12	9	61
13	10	64
14	11	62
15	11	61
16	12	59
17	12	58
18	13	57
19	13	55
20	14	54
21	15	53
22	15	51
23	15	50
24	16	49
25	17	48
26	17	47
27	18	46
28	18	46
29	20	48
30	21	47
31	22	47
32	23	47
33	24	46
34	24	46
35	25	45
36	26	44
37	26	43
38	27	42
39	27	41
40	28	41
41	29	40
42	30	39
43	30	39
44	31	38
45	31	37
46	32	36
47	33	35
48	33	35
49	34	34
50	34	33
51	35	32
52	36	32
53	36	31
54	37	30
55	37	29
56	42	32
57	43	31
58	44	30
59	45	30
60	45	29
61	46	28
62	46	27
63	47	26
64	47	25
65	48	24
66	48	24
67	49	23
68	49	22
69	50	21
70	51	20
71	51	20
72	52	19
73	52	18
74	53	17
75	53	17
76	54	16
77	55	15
78	55	14
79	56	14
80	56	13
81	57	12
82	58	11
83	58	11
84	59	10
85	59	9
86	60	8
87	60	8
88	62	7
89	63	7
90	63	6
91	64	5
92	64	4
93	65	4
94	65	3
95	67	2
96	69	2
97	69	1
98	70	0
99	71	0
